,,Avg Time (s),Avg Time (s),Throughput (img/s),Throughput (img/s)
GPU,,RTX 3080,RTX 4090,RTX 3080,RTX 4090
Model,Scale,,,,
EDSR-AIR,1.5,1.478,0.598,0.68,1.67
EDSR-AIR,2.0,1.501,0.622,0.67,1.61
EDSR-AIR,2.5,1.623,0.688,0.62,1.45
EDSR-AIR,3.0,1.723,0.744,0.58,1.34
EDSR-PLUS,1.5,3.102,1.387,0.32,0.72
EDSR-PLUS,2.0,3.166,1.43,0.32,0.7
EDSR-PLUS,2.5,3.42,1.577,0.29,0.63
EDSR-PLUS,3.0,3.668,1.723,0.27,0.58
EDSR-PRO,1.5,8.601,3.857,0.12,0.26
EDSR-PRO,2.0,8.657,3.893,0.12,0.26
EDSR-PRO,2.5,8.861,4.022,0.11,0.25
EDSR-PRO,3.0,9.079,4.14,0.11,0.24
RDN-AIR,1.5,6.007,2.949,0.17,0.34
RDN-AIR,2.0,6.032,2.969,0.17,0.34
RDN-AIR,2.5,6.135,3.016,0.16,0.33
RDN-AIR,3.0,6.274,3.086,0.16,0.32
RDN-PLUS,1.5,7.546,3.734,0.13,0.27
RDN-PLUS,2.0,7.591,3.775,0.13,0.26
RDN-PLUS,2.5,7.845,3.923,0.13,0.25
RDN-PLUS,3.0,8.135,4.083,0.12,0.24
RDN-PRO,1.5,13.01,6.098,0.08,0.16
RDN-PRO,2.0,13.069,6.137,0.08,0.16
RDN-PRO,2.5,13.267,6.268,0.08,0.16
RDN-PRO,3.0,13.525,6.408,0.07,0.16
